title,description
DevOps Engineer,"You excel at writing code to automate everything.
 Create and maintain tools for deployment, monitoring, and operations.
 Test our systems and processes."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Experience in software development is a plus.
 Our software helps over 1.4 million creative, branding and marketing professionals streamlining the creation,…"
DevOps Engineer,"Work collaboratively with software engineering to define infrastructure and deployment requirements.
 Design cloud infrastructure that is secure, scalable, and…"
DevOps Engineer,You will be working alongside the world’s best Scientists and Engineers in the fields of AI and Computer Vision to deliver the highest quality of products.
DevOps Engineer,"6+ years experience working in a software development and verification organization.
 Drive troubleshooting and root cause analysis for internal and customer…"
DevOps Engineer,"We are seeking DevOps Engineers who either have experience with Kubernetes and Terraform, or related experience and willingness to learn."
DevOps Engineer,"DevOps Engineer with master’s degree in Computer Science, Engineering any, Technology or related and 6 months of exp to assist with all stages of test data,…"
DevOps Engineer,"Amazon Web Services (AWS), Devops Engineering, DevOps, Devops Tools.
 Robert Half Technology matches IT professionals with remote or on-site jobs on a temporary,…"
DevOps Engineer,Are you an Agile practitioner with a willingness to jump in and figure out complex technical problems with a focus on delivering results?
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Ensure smooth operations and maximize uptime and performance of Cloud software.
 Build and operate the environments for our Cloud customers of respective product…"
DevOps Engineer,The Senior DevOps Engineer combines software development and continuous integration practices of new software solutions within a large scale enterprise Java EE…
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"The ideal candidate will have at least 6+ years of related work experience.
 Experience designing and implementing Continuous Delivery architectural patterns and…"
DevOps Engineer,"Utilize Cloud Native Computing Foundation (CNCF) tools and software.
 Work in a fast-paced environment to assist in migration and deployment of applications in…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Locations: VA - Richmond, United States of America, Richmond, Virginia.
 Do you love building and pioneering in the technology space?"
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"Provide technical leadership to other DevOps engineers including architecture, directing and reviewing their work.
 Experience and knowledge around Docker."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"We are looking for talented DevOps engineers who can develop and manage tools to automate development, testing and integration processes."
DevOps Engineer,"Able to troubleshoot and triage software incidents.
 Take ownership role in the deployment and configuration of software applications."
DevOps Engineer,"Experience with Azure DevOps (CI/CD) \* over 3 years.
 Working in an Agile-Scrum environment.
 New York, NY: Reliably commute or planning to relocate before…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Aware of software development risks, with an appreciation for what is technically feasible.
 RevaComm DevOps Engineers are responsible for designing and…"
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"You have a proven track record of implementing a highly secured, scalable applications, and have solid understanding of modern technologies for release…"
DevOps Engineer,"Experience designing and developing software oriented towards systems or network automation.
 You'll collaborate with other team members to deliver amazing…"
DevOps Engineer,"Experience in software engineering and architecture disciplines.
 Experience with Gitflow workflow in software development environments."
DevOps Engineer,"Assist in the design and implementation of cloud infrastructure, DevOps tools, and development pipelines to support the next-generation software."
DevOps Engineer,Proven experience demonstrating hands-on business impact in combining software engineering skills with systems engineering skills to solve complex automation…
DevOps Engineer,"Building new internal tools to streamline service and scale to the customer.
 Manage &amp; help support numerous AWS Services.
 Stipend for remote work setup."
DevOps Engineer,"Aware of software development risks, with an appreciation for what is technically feasible.
 RevaComm DevOps Engineers are responsible for designing and…"
DevOps Engineer,"As a Senior DevOps Engineer you will participate in building, deploying, and maintaining our internal and external systems, while working closely with the…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Excellent communication skills - ability to provide overviews for managers but also talk bits and bytes with engineers.
 Must be comfortable with Linux."
DevOps Engineer,"Automating at-will setup/teardown of environments for developers/designers.
 Upgrading various dependencies throughout the stack (PostgreSQL/frameworks/etc…)."
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"The successful candidate will work collaboratively with engineering teams to improve and automate processes; manage, automate and standardize software releases…"
DevOps Engineer,"4+ years software engineering experience.
 This is a great chance to be part of a growing organization that is passionate about building software the right way…"
DevOps Engineer,"Further consideration if you have YAML experience..
 Must have working experience with building YAML pipelines in Azure DevOps.*."
DevOps Engineer,"Support administration of the devops pipeline to include Jenkins agents and Auto Scaling Group.
 Support administration of OpenVPN and LDAP services for access…"
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"RgOne™, Redpoint Global’s fully integrated solution, delivers a single point of control for data management, analytics, and marketing execution, so your…"
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"The DevOps Engineer will be responsible for executing the tools and processes to enable DevOps.
 Candidate should be able to bridge the gap between Development…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Our DevOps engineers support a diverse, collaborative group of engineers that help build reliability and scalability into our digital products."
DevOps Engineer,"DevOps Engineer needed for a 6 month +, 100% Remote, 1099 contract, No C2Cs please.*.
 This position requires US citizenship or the possession of a valid &amp;…"
DevOps Engineer,"The DevOps Engineer will be responsible for executing the tools and processes to enable DevOps.
 Candidate should be able to bridge the gap between Development…"
DevOps Engineer,"Structure and maintain software config management systems.
 As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals…"
DevOps Engineer,We are experts in building experiences grounded in data that transform and optimize the employee and customer journey.
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"5 years experience on a software, devops, or infrastructure engineering role.
 The ideal candidate will utilize their expertise in infrastructure orchestration…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"RgOne™, Redpoint Global’s fully integrated solution, delivers a single point of control for data management, analytics, and marketing execution, so your…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"As a DevOps engineer, you will play a key role in establishing our initial tech stack, and have sway on architectural decisions."
DevOps Engineer,"1 must be strong in Terraform,*.
 1 must be strong in API gateways,*.
 CI/CD: 1 year (Preferred)."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Designs, tests, and deploys the infrastructure for the software product.
 Shortens software development cycles and feedback loops through rapid release by…"
DevOps Engineer,"Familiarity with agile software development in Python, Nodejs, Reactjs.
 We are seeking a talented Senior DevOps Engineer to be a key contributor to the team and…"
DevOps Engineer,"RgOne™, Redpoint Global’s fully integrated solution, delivers a single point of control for data management, analytics, and marketing execution, so your…"
DevOps Engineer,". We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or…"
DevOps Engineer,"Install and configure development and deployment applications and software infrastructure.
 Architect and implement our next generation DevOps system."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Further consideration if you have YAML experience..
 Must have working experience with building YAML pipelines in Azure DevOps.*."
DevOps Engineer,"Reporting to the Vice President of Cloud Operations, the DevOps Engineer is instrumental in creating, automating, deploying, operating and scaling an always-on…"
DevOps Engineer,"Experience with JIRA, Confluence, GitHub, SCM &amp; Agile process.
 Experience with automations, scripting, CI/CD pipelines using Jenkins."
DevOps Engineer,"With Tulip's no-code platform, manufacturers can empower those closest to operations to digitally transform their facilities and gain real-time visibility into…"
DevOps Engineer,"4+ years working with software and data infrastructure.
 Collaborate closely with software and data science teams, and with other business stakeholders."
DevOps Engineer,"Compile and assemble software from source code.
 Support developers for software package registry and delivery.
 Tuition reimbursement for approved courses."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Help design, oversee, and test the disaster recovery and business continuity plans for the software.
 Manage, architect, and design the infrastructure and DevOps…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,This role will be responsible for designing and supporting highly available systems in a technologically diverse stack used to research and trade cryptoassets…
DevOps Engineer,"Bachelor’s degree in computer science, software engineering, or related field or equivalent experience.
 Its SaaS products are used by thousands of organizations…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Build and monitor autoscaling infrastructure on cloud-based systems.
 Build a functional CI/CD pipeline that maximizes efficiency for the dev team."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Experience with writing Jenkins jobs (using groovy).
 Experience writing groovy for pipeline code.
 Expert level experience with helm charts."
DevOps Engineer,"Work in an agile process supporting the team to design, build, test, deploy software.
 3+ years experience with infrastructure as a service (IaaS) providers …"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Mentor and coach other engineers in this role.
 Support the delivery of production capable embedded software for GM vehicles.
 Apply SAFe agile SDLC principles."
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"3 or more years working hands on experience as DevOps engineer.
 BS/BA degree or equivalent experience.
 Must possess strong communication and interpersonal…"
DevOps Engineer,"4+ years software engineering experience.
 Building, supporting, monitoring, and optimizing our AWS infrastructure across all staging and production environments…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Experience fixing software applications and reading stack traces.
 The SEI helps advance software engineering principles and practices and serves as a national…"
DevOps Engineer,"Our DevOps engineers come from a variety of backgrounds including systems engineering, software engineering, and system administration."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,Computer Science or Computer Technology graduates can bring some of the technical skills necessary to become a DevOps engineer.
DevOps Engineer,"The engineer will also provide engineering expertise in support of test activities with a focus on automating test cases.
 Experience with writing test plans."
DevOps Engineer,"Will support software development through developing automation processes for clients located throughout the U.S.
 Will also work with Maven as a build tool."
DevOps Engineer,"Analyze user needs and develop software solutions.
 Recommend software upgrades to optimize operational efficiency.
 Familiarity with AWS, Azure, Google Cloud."
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"Further consideration if you have YAML experience..
 Must have working experience with building YAML pipelines in Azure DevOps.*."
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,2+ years’ experience in a DevOps Engineer role (or similar role); experience in software development and infrastructure development is a plus.
DevOps Engineer,"YAML Experience is a MUST!
 Further consideration if you have YAML experience..
 Must have working experience with building YAML pipelines in Azure DevOps.."
DevOps Engineer,"Focus on delivering excellence at each stage of our software pipeline.
 As a senior DevOps Engineer at OPES CLOUD, the greatest value you bring is optimizing and…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Using Balbix, organizations can discover, prioritize and mitigate unseen risks and vulnerabilities at high velocity."
DevOps Engineer,"Test and debug related software.
 Advanced degree supporting software system subject matter expertise a plus.
 Bachelor’s degree in engineering, computer sciences…"
DevOps Engineer,"Support administration of the devops pipeline to include Jenkins agents and Auto Scaling Group.
 Support administration of OpenVPN and LDAP services for access…"
DevOps Engineer,"Building new internal tools to streamline service and scale to the customer.
 Manage &amp; help support numerous AWS Services.
 Stipend for remote work setup."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"We build on a quickly evolving modern stack, and we welcome well-reasoned, forward-thinking technology and architectural suggestions."
DevOps Engineer,"Obsession with software scalability and performance under high loads.
 Love for using and contributing to open-source software."
DevOps Engineer,"Mentor software engineers on DevOps principles.
 Improve software delivery and operational performance measurement capabilities."
DevOps Engineer,"Multiple years of experience working as an engineer in a software development organization.
 The job works independently to perform a variety of activities…"
DevOps Engineer,"You have a proven track record of implementing a highly secured, scalable applications, and have solid understanding of modern technologies for release…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"5 years experience on a software, devops, or infrastructure engineering role.
 The ideal candidate will utilize their expertise in infrastructure orchestration…"
DevOps Engineer,"This platform helps from training machine learnt models, evaluate, deploy as microservices and helps in orchestrating the API calls to these ML and Content…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Structure and maintain software config management systems.
 As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals…"
DevOps Engineer,"Experience with DevOps best practices as they relate to software application lifecycle/release processes.
 Setup build environments and pipelines in Jenkins for…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Have a great understanding of both coding and software design principles.
 Understand and build automated tests fit into the bigger picture of software delivery…"
DevOps Engineer,"Mentor and train other engineers throughout the company and seek to continually improve processes companywide.
 Monitor automated systems recovery solutions."
DevOps Engineer,"Bachelor’s degree in computer science, software engineering, or related field or equivalent experience.
 Its SaaS products are used by thousands of organizations…"
DevOps Engineer,"Experienced in system administration with a background and understanding of software development.
 The candidate will be responsible for development, testing,…"
DevOps Engineer,We focus on IT System Modernization using agile software development practices and DevSecOps to deliver intuitive and maintainable systems that we help our…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Experience with automate the build process of complex production software systems.
 DispatchHealth allows people to receive high quality and cost-effective…"
DevOps Engineer,"Participates in architecture and software development activities.
 This position is responsible for the health, testing, and architecture of system platforms…"
DevOps Engineer,"Report directly to the Engineering and Operations Manager.
 Review requirements, specifications, and technical design documents to provide timely and meaningful…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,Understanding of software development life cycle and how DevOps principles can be applied to streamline and improve that process.
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Networking skills using software firewalls and software routing daemons.
 Experience with rapid release software development practices (Agile/Scrum) ."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,Solid technical background with understanding and/or experience in software development with strong development and/or environment management skill.
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Design and Implement Divvy's CD/CI pipelinesEnsure compliance with PCI DSS, SOC2 security standards.
 Participate in on-call rotation with other DevOps Engineers…"
DevOps Engineer,"10+ years of experience as a DevOps engineer.
 The Senior DevOps Engineer is a Full Time, Regular position working Monday-Friday.
 CI/CD: 1 year (Preferred)."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Understanding of end-to-end modern agile software development.
 Performs peer reviews using software engineering principles, patterns, and development guidelines…"
DevOps Engineer,"Experience scripting in some of the common languages used by system engineers (shell, golang).
 You enjoy solving problems and thrive in a customer-centric…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,We’re looking for a DevOps Engineer that can work with our engineering team to deliver the next generation of the Tyk Cloud product line and augment our Scrum…
DevOps Engineer,"Manage and provision cloud infrastructure for Development, Test and Production environments.
 Maintain and extend test, build, and deployment automation."
DevOps Engineer,"Wide-ranging intellectual challenges spanning full-stack software development, AI / ML, and strong design.
 Gathering experience from some of the top schools and…"
DevOps Engineer,"May maintain or oversee the maintenance of existing software.
 Coordinate end-to-end tasks across the team and implement new software technologies."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"1+ years of experience as a professional software engineer working in a team environment Bachelor in Computer Science, Computer Engineering, or equivalent work…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"You have a proven track record of implementing a highly secured, scalable applications, and have solid understanding of modern technologies for release…"
DevOps Engineer,"2+ years experience working with Linux/Unix software development environments.
 The Bill.com AI-enabled, financial software platform creates connections between…"
DevOps Engineer,"DevOps Engineers are IT professionals who collaborate with software developers, system operations and other IT staff members to deploy and operate our systems…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Structure and maintain software config management systems.
 As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals…"
DevOps Engineer,A successful candidate has technical depth and hands-on experience of various practices and tools within DevOps and is comfortable rolling up their sleeves to…
DevOps Engineer,"Bachelor’s degree in computer science, computer information systems, information technology, relevant engineering (computer engineering, software engineering,…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Structure and maintain software config management systems.
 As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals…"
DevOps Engineer,MPS needs DevOps engineers who can help us maintain the cloud-based software applications and environment that comprises our highly-available and secure…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Design, build and deliver cloud computing solutions, hosted services, and underlying software infrastructure.
 Design and build tools and frameworks that support…"
DevOps Engineer,"Work Area: Software-Design and Development.
 Employment Type: Regular Full Time.
 You will be working with various teams to help transform Ariba's cutting edge,…"
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"You have a proven track record of implementing a highly secured, scalable applications, and have solid understanding of modern technologies for release…"
DevOps Engineer,You would work alongside a dynamic and talented team with experienced leadership in an exciting start-up environment with competitive compensation including…
DevOps Engineer,"As an AWS DevOps Engineer, you will be trusted to manage the customers Dev/Test/Production and AWS environments and development pipeline."
DevOps Engineer,"Automated software deployment process to workstations/servers.
 Windows PC workstation build out and repair (hardware and software)."
DevOps Engineer,"Bachelor’s degree in Computer Science/Engineering, Computer Systems Networking, Information Systems/Science, or a closely related field."
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Participate in the strategy, planning, and execution of your team’s technology roadmap &amp; OKR’s.
 Ensure technology standards and best practices are met."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Coach/Mentor team members on best practices of software engineering.
 Experience translating software application requirements into a technical hosting design…"
DevOps Engineer,"As a Software Engineer - DevOps, you will contribute to software automation responsible for the implementation of automation-as-a-code across a wide and diverse…"
DevOps Engineer,"Experience with the full software development lifecycle and delivery using Agile practices.
 Experience leading and mentoring a team of engineers architecting…"
DevOps Engineer,"7+ years of experience in software development or technical operations.
 We are looking for an exceptional Senior DevOps Engineer responsible for managing…"
DevOps Engineer,The selected candidate will leverage their skills to provide their expertise in infrastructure provisioning and configuration and software deployment across the…
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"In-depth knowledge of DevOps practice methodologies and software delivery from commit to production.
 Evaluates existing and new software products and tools for…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"Lead a portfolio of diverse technology projects and a team of developers with deep experience in machine learning, distributed microservices, and full stack…"
DevOps Engineer,"The DevOps Engineer will be responsible for executing the tools and processes to enable DevOps.
 Candidate should be able to bridge the gap between Development…"
DevOps Engineer,"Innovative B2B marketplace platform, experienced team, serial entrepreneur founder, well-funded, already profitable.
 Knowledge of C#, .net core, and Angular."
DevOps Engineer,"Strong grasp of automation and software development tools.
 Lead other DevOps engineers in pursuit of technical, strategic, and organizational goals."
DevOps Engineer,"Previous experience with software development, infrastructure development, or development and operations.
 From creating and implementing software systems to…"
DevOps Engineer,"Evaluate software applications and vendors for WM Technology and other divisions.
 Experience with Digital Asset Management software solutions within the media &amp;…"
DevOps Engineer,"Structure and maintain software config management systems.
 As an engineer at FullStack Labs you will help our incredible clients achieve their technical goals…"
